transaction_id,date,month,account_type,category,subcategory,merchant,amount_php,payment_method,necessity_type,status,budget_limit_php,notes
FEM-0053,2024-10-20,2024-10,Student,Entertainment,Travel/Leisure,Airbnb,4581.22,Maya,Want,Pending,3000,Budget concern
FEM-0054,2024-08-03,2024-08,Student,Education,Printing,Print Shop,442.13,Credit Card,Need,Paid,5000,One-time expense
FEM-0055,2024-10-17,2024-10,Household,Utilities,Internet,PLDT,1147.77,Maya,Need,Paid,7000,
FEM-0056,2024-03-18,2024-03,Personal,Rent,Association Dues,Subdivision Office,1010.45,Cash,Need,Paid,12000,Regular expense
FEM-0057,2024-10-03,2024-10,Personal,Transportation,Parking/Toll,Street Parking,95.28,Debit Card,Need,Paid,4500,
FEM-0058,2025-08-29,2025-08,Personal,Rent,Association Dues,Subdivision Office,1938.24,Credit Card,Need,pending,12000,
FEM-0059,2025-07-26,2025-07,Student,Rent,Dorm/Apartment Rent,Boarding House,11222.43,GCash,Need,Paid,12000,
FEM-0060,2024-10-24,2024-10,Household,Healthcare,Checkup,Clinic,2851.15,Debit Card,Need,Pending,4000,Promo/discount used
FEM-0061,2025-10-10,2025-10,Personal,Education,Printing,Computer Shop,167.76,GCash,Need,Pending,5000,Recurring bill
FEM-0062,2025-09-22,2025-09,Household,Savings,Emergency Fund,Savings Account,5028.73,GCash,Savings,Paid,8000,One-time expense
FEM-0063,2024-08-22,2024-08,Personal,Entertainment,Gaming,Steam,381.09,GCash,Want,Paid,3000,Budget concern
FEM-0064,2025-08-30,2025-08,Household,Education,School Supplies,Pandayan Bookshop,1628.19,BDO Online,Need,Paid,5000,One-time expense
FEM-0065,2025-08-30,2025-08,Personal,Utilities,Internet,PLDT,1162.27,Bank Transfer,Need,Pending,7000,Budget concern
FEM-0066,2025-01-23,2025-01,Personal,Transportation,Fuel,Caltex,2491.39,Bank Transfer,Need,Paid,4500,Budget concern
FEM-0067,2025-05-31,2025-05,Household,Healthcare,Dental,Dental Clinic,4079.52,Credit Card,Need,Cancelled,4000,Recurring bill
FEM-0068,2025-02-01,2025-02,Personal,Shopping,Clothing,Penshoppe,626.03,BDO Online,Want,Pending,6000,Promo/discount used
FEM-0069,2025-03-30,2025-03,Household,Savings,Investment,Maya Stocks,7778.36,BDO Online,Savings,Paid,8000,One-time expense
FEM-0070,2025-09-24,2025-09,Student,Rent,Association Dues,Condo Admin,1707.22,Credit Card,Need,Paid,12000,Regular expense
FEM-0071,2024-06-30,2024-06,Household,Food & Dining,Groceries,Robinsons Supermarket,1935.01,Bank Transfer,Need,Cancelled,10000,
FEM-0072,2024-04-04,2024-04,Personal,Education,Printing,Print Shop,382.75,Maya,Need,Paid,5000,Recurring bill
FEM-0073,2024-08-07,2024-08,Student,Rent,Dorm/Apartment Rent,Boarding House,7489.64,Maya,Need,Paid,12000,Regular expense
FEM-0074,2024-04-20,2024-04,Freelance,Entertainment,Streaming Subscription,YouTube Premium,476.55,Cash,Want,Paid,3000,Promo/discount used
FEM-0075,2024-02-14,2024-02,Personal,Rent,Dorm/Apartment Rent,Dormitory Payment,7267.18,BDO Online,Need,Paid,12000,
FEM-0076,2025-03-24,2025-03,Student,Utilities,Electricity,Meralco,3903.64,Maya,Need,Paid,7000,One-time expense
FEM-0077,2024-03-08,2024-03,Student,Transportation,Parking/Toll,NLEX Toll,204.92,Bank Transfer,Need,Paid,4500,Regular expense
FEM-0078,2024-10-05,2024-10,Personal,Shopping,Personal Care,Salon,638.80,GCash,Want,Paid,6000,One-time expense
FEM-0079,2024-11-22,2024-11,Personal,Entertainment,Travel/Leisure,Klook,6315.39,Debit Card,Want,Paid,3000,One-time expense
FEM-0080,2024-05-13,2024-05,Personal,Transportation,Fuel,Phoenix,1654.01,GCash,Need,Cancelled,4500,Promo/discount used
FEM-0081,2024-02-13,2024-02,Personal,Food & Dining,Groceries,Puregold,2633.49,Credit Card,Need,Paid,10000,One-time expense
FEM-0082,2024-01-02,2024-01,Household,Transportation,Parking/Toll,Street Parking,194.72,Bank Transfer,Need,Paid,4500,Recurring bill
FEM-0083,2024-06-10,2024-06,Student,Entertainment,Streaming Subscription,Spotify,310.41,Cash,Want,Paid,3000,Promo/discount used
FEM-0084,2024-03-23,2024-03,Household,Food & Dining,Groceries,Dali Grocery,2205.63,Debit Card,Need,Paid,10000,Recurring bill
FEM-0085,2025-12-18,2025-12,Household,Shopping,Clothing,Bench,2304.76,Bank Transfer,Want,Paid,6000,Promo/discount used
FEM-0086,2024-07-19,2024-07,Freelance,Education,Tuition/Fees,University Portal,9687.57,Bank Transfer,Need,Paid,5000,Promo/discount used
FEM-0087,2024-10-08,2024-10,Household,Education,Online Course,Udemy,3026.75,GCash,Need,Paid,5000,Promo/discount used
FEM-0088,2024-03-23,2024-03,Personal,Food & Dining,Groceries,Dali Grocery,3333.10,GCash,Need,Paid,10000,One-time expense
FEM-0089,2024-10-25,2024-10,Personal,Entertainment,Streaming Subscription,Spotify,223.18,Maya,Want,Paid,3000,Budget concern
FEM-0090,2025-06-16,2025-06,Personal,Rent,Association Dues,Condo Admin,1134.35,Debit Card,Need,Paid,12000,Regular expense
FEM-0091,2025-05-06,2025-05,Household,Education,Tuition/Fees,University Portal,15368.89,GCash,Need,Paid,5000,Budget concern
FEM-0092,2024-01-26,2024-01,Personal,Education,Printing,Print Shop,231.22,Maya,Need,Paid,5000,One-time expense
FEM-0093,2024-09-22,2024-09,Personal,Utilities,Internet,Converge,1648.83,Bank Transfer,Need,Paid,7000,Promo/discount used
FEM-0094,2025-12-06,2025-12,Personal,Healthcare,Checkup,Clinic,3049.09,Bank Transfer,Need,Paid,4000,One-time expense
FEM-0095,2024-05-22,2024-05,Personal,Transportation,Jeepney/Bus Fare,Public Transport,116.23,BDO Online,Need,Paid,4500,Recurring bill
FEM-0096,2025-08-09,2025-08,Personal,Food & Dining,Fast Food,Mang Inasal,453.71,Credit Card,Need,Paid,10000,Recurring bill
FEM-0097,2025-04-08,2025-04,Personal,Others,Miscellaneous,Unknown Merchant,1660.47,Maya,Mixed,Paid,3000,One-time expense
FEM-0098,2025-09-07,2025-09,Personal,Shopping,Clothing,Uniqlo,1181.87,Credit Card,Want,Paid,6000,Regular expense
FEM-0099,2024-03-07,2024-03,Student,Utilities,Electricity,Meralco,4893.01,Cash,Need,Paid,7000,Regular expense
FEM-0100,2024-02-24,2024-02,Personal,Healthcare,Checkup,Hospital OPD,3056.60,GCash,Need,Paid,4000,One-time expense
FEM-0101,2025-03-31,2025-03,Household,Education,Online Course,DataCamp,1131.50,Cash,Need,Paid,5000,Budget concern
FEM-0102,2024-11-25,2024-11,Personal,Transportation,Jeepney/Bus Fare,Jeepney Fare,75.70,Cash,Need,Paid,4500,Regular expense
FEM-0103,2024-12-20,2024-12,Student,Food & Dining,Restaurant,Local Carinderia,554.13,Cash,Need,Pending,10000,Recurring bill
FEM-0104,2024-12-15,2024-12,Household,Education,School Supplies,Pandayan Bookshop,892.20,Bank Transfer,Need,Paid,5000,Promo/discount used
FEM-0105,2024-07-23,2024-07,Personal,Food & Dining,Cafe,But First Coffee,158.21,GCash,Need,Paid,10000,
FEM-0106,2025-08-23,2025-08,Personal,Entertainment,Cinema,SM Cinema,750.61,Debit Card,Want,Cancelled,3000,One-time expense
FEM-0107,2024-06-25,2024-06,Household,Rent,Dorm/Apartment Rent,Boarding House,7322.53,Credit Card,Need,Paid,12000,Budget concern
FEM-0108,2025-10-09,2025-10,Personal,Rent,Association Dues,Condo Admin,1077.57,Cash,Need,Pending,12000,
FEM-0109,2024-10-19,2024-10,Personal,Entertainment,Cinema,Ayala Malls Cinemas,579.13,GCash,Want,Paid,3000,Recurring bill
FEM-0110,2025-09-29,2025-09,Student,Shopping,Personal Care,Guardian,1069.38,Credit Card,Want,Paid,6000,Recurring bill
FEM-0111,2024-03-25,2024-03,Student,Food & Dining,Cafe,Dunkin,172.08,Bank Transfer,Need,Paid,10000,Regular expense
FEM-0112,2025-05-18,2025-05,Student,Food & Dining,Groceries,Puregold,2451.38,GCash,Need,Paid,10000,
FEM-0113,2024-09-13,2024-09,Household,Utilities,Internet,,1657.75,BDO ONLINE,Need,Pending,7000,Budget concern
FEM-0114,2025-05-25,2025-05,Student,Transportation,Fuel,,1306.57,credit card,Need,PAID,4500,One-time expense
FEM-0115,2024-07-31,2024-07,Household,Healthcare,Medicine,Watsons Pharmacy,-763.24,Bank Transfer,Need,Refunded,4000,Budget concern
FEM-0116,2024-02-07,2024-02,Personal,Transportation,Ride Hailing,Grab,547.20,Cash,Need,Paid,4500,Recurring bill
FEM-0117,2025-10-17,2025-10,Household,Entertainment,Streaming Subscription,YouTube Premium,299.10,GCash,Want,Paid,3000,Budget concern
FEM-0118,2025-08-16,2025-08,Freelance,Healthcare,Medicine,Generika,1275.63,Bank Transfer,Need,Paid,4000,
FEM-0119,2025-06-09,2025-06,Personal,Savings,Investment,GCash GInvest,8794.07,GCash,Savings,Paid,8000,Regular expense
FEM-0120,2024-10-15,2024-10,Personal,Savings,Emergency Fund,Savings Account,3468.44,Bank Transfer,Savings,Paid,8000,Recurring bill
FEM-0121,2024-08-02,2024-08,Personal,Savings,Investment,Maya Stocks,7209.58,Debit Card,Savings,Paid,8000,
FEM-0122,2024-08-05,2024-08,Household,Rent,Dorm/Apartment Rent,Dormitory Payment,7564.68,Bank Transfer,Need,Paid,12000,Regular expense
FEM-0123,2024-09-01,2024-09,Student,Rent,Dorm/Apartment Rent,Boarding House,7739.98,Cash,Need,Paid,12000,One-time expense
FEM-0124,2025-08-18,2025-08,Household,Education,Printing,Computer Shop,506.49,Cash,Need,Paid,5000,One-time expense
FEM-0125,2025-01-27,2025-01,Personal,Savings,Emergency Fund,Savings Account,3072.65,Cash,Savings,Cancelled,8000,Budget concern
FEM-0126,2024-03-18,2024-03,Personal,Transportation,Fuel,Shell,1774.66,Cash,Need,Pending,4500,
FEM-0127,2025-04-13,2025-04,Personal,Healthcare,Insurance,Insurance Provider,2225.80,GCash,Need,Pending,4000,Recurring bill
FEM-0128,2025-05-13,2025-05,Personal,Utilities,Mobile Load,Smart,503.86,Cash,Need,Paid,7000,Budget concern
FEM-0129,2025-01-18,2025-01,Personal,Transportation,Ride Hailing,Angkas,249.23,Bank Transfer,Need,Paid,4500,Regular expense
FEM-0130,2025-06-25,2025-06,Personal,Healthcare,Insurance,Insurance Provider,-1694.84,GCash,Need,Refunded,4000,Regular expense
FEM-0131,2025-10-14,2025-10,Personal,Rent,Dorm/Apartment Rent,Dormitory Payment,9243.59,Debit Card,Need,Paid,12000,Regular expense
FEM-0132,2025-10-09,2025-10,Household,Entertainment,Travel/Leisure,Cebu Pacific,6348.41,Bank Transfer,Want,Paid,3000,Budget concern
FEM-0133,2025-06-17,2025-06,Household,Savings,Investment,Bank Investment,10304.89,Debit Card,Savings,Cancelled,8000,Budget concern
FEM-0134,2024-08-12,2024-08,Student,Utilities,Water,Manila Water,445.86,Debit Card,Need,Paid,7000,Recurring bill
FEM-0135,2024-10-10,2024-10,Household,Food & Dining,Groceries,Dali Grocery,2476.34,Cash,Need,Paid,10000,Budget concern
FEM-0136,2024-03-11,2024-03,Student, Education,Online Course,DataCamp,2487.01,Bank Transfer,Need,Paid,5000,Recurring bill
FEM-0137,2024-03-19,2024-03,Household,Education,Tuition/Fees,University Portal,6322.78,Bank Transfer,Need,Paid,5000,Promo/discount used
FEM-0138,2025-12-04,2025-12,Household,Utilities,Mobile Load,DITO,366.72,GCash,Need,Pending,7000,One-time expense
FEM-0139,2024-11-12,2024-11,Personal,Entertainment,Streaming Subscription,YouTube Premium,309.14,Maya,Want,Paid,3000,One-time expense
FEM-0140,2025-10-28,2025-10,Household,Shopping,Clothing,Penshoppe,1278.00,Cash,Want,Paid,6000,One-time expense
FEM-0141,2024-05-20,2024-05,Personal,Utilities,Electricity,Meralco,3215.15,GCash,Need,Paid,7000,Recurring bill
FEM-0142,2025-05-31,2025-05,Freelance,Entertainment,Travel/Leisure,Airbnb,5484.71,BDO ONLINE,Want,Paid,3000,Budget concern
,2024-07-09,2024-07,Student,Entertainment,Streaming Subscription,Spotify,-457.57,GCash,Want,Refunded,3000,
FEM-0144,2025-08-26,2025-08,Student,Savings,Investment,GCash GInvest,12462.27,GCash,Savings,Paid,8000,Budget concern
FEM-0145,2025-01-07,2025-01,Personal,Shopping,Clothing,Uniqlo,1898.97,Credit Card,Want,Paid,6000,One-time expense
FEM-0146,2025-11-21,2025-11,Student,Savings,Emergency Fund,Savings Account,4303.49,Bank Transfer,Savings,Paid,8000,
FEM-0147,2025-08-30,2025-08,Personal,Shopping,Online Shopping,Lazada,3815.63,GCash,Want,Paid,6000,One-time expense
FEM-0148,2025-01-04,2025-01,Personal,Utilities,Internet,PLDT,1812.03,Bank Transfer,Need,Paid,7000,
FEM-0149,2025-04-10,2025-04,Personal,Transportation,Parking/Toll,Skyway Toll,137.55,Bank Transfer,Need,Paid,4500,Regular expense
FEM-0150,2024-07-11,2024-07,Personal,Food & Dining,Cafe,Dunkin,269.36,Maya,Need,Paid,10000,
FEM-0151,2025-12-10,2025-12,Student,Food & Dining,Cafe,Bo's Coffee,221.87,Maya,Need,Paid,10000,Recurring bill
FEM-0152,2024-01-18,2024-01,Personal,Transportation,Jeepney/Bus Fare,Public Transport,96.59,Cash,Need,Paid,4500,Regular expense
FEM-0153,2024-10-20,2024-10,Student,Rent,Association Dues,Condo Admin,1085.78,Credit Card,Need,Paid,12000,Regular expense
FEM-0154,2025-05-19,2025-05,Personal,Food & Dining,Groceries,SM Supermarket,2738.54,GCash,Need,Paid,10000,Budget concern
FEM-0155,2024-09-07,2024-09,Freelance,Transportation,Fuel,Petron,-946.35,Cash,Need,Refunded,4500,Regular expense
FEM-0156,2024-05-05,2024-05,Student,Education,School Supplies,National Book Store,1066.37,Bank Transfer,Need,Paid,5000,Promo/discount used
FEM-0157,2025-08-01,2025-08,Personal,Healthcare,Insurance,Insurance Provider,1248.13,Cash,Need,Paid,4000,
FEM-0158,2024-12-06,2024-12,Personal,Entertainment,Gaming,Steam,-404.99,Bank Transfer,Want,Refunded,3000,Recurring bill
FEM-0159,2024-04-19,2024-04,Freelance,Utilities,Mobile Load,Globe,472.50,Debit Card,Need,Cancelled,7000,
FEM-0160,2024-11-08,2024-11,Personal,Shopping,Online Shopping,Lazada,2685.37,GCash,Want,Paid,6000,Recurring bill
FEM-0161,2025-03-04,2025-03,Personal,Utilities,Water,Maynilad,519.61,bank transfer,Need,Paid,7000,
FEM-0162,2024-12-19,2024-12,Personal,Healthcare,Insurance,Insurance Provider,1857.87,GCash,Need,Paid,4000,Budget concern
FEM-0163,2024-08-24,2024-08,Student,food & dining,Fast Food,McDonald's,437.33,Bank Transfer,Need,Paid,10000,
FEM-0164,2024-06-08,2024-06,Student,Shopping,Clothing,Bench,3064.39,Cash,Want,Paid,6000,Regular expense
FEM-0165,2025-11-28,2025-11,Personal,Food & Dining,Restaurant,Local Carinderia,1033.50,Bank Transfer,Need,Paid,10000,Budget concern
FEM-0166,2025-06-06,2025-06,Personal,Food & Dining,Groceries,SM Supermarket,2089.21,GCash,Need,Paid,10000,Budget concern
FEM-0167,2024-08-10,2024-08,Freelance,Utilities,Electricity,Meralco,,GCash,Need,Paid,7000,Recurring bill
FEM-0168,2025-07-03,2025-07,Household,Shopping,Personal Care,Watsons,781.57,Debit Card,Want,,6000,Promo/discount used
FEM-0169,2024-03-29,2024-03,Personal,Rent,Association Dues,Condo Admin,1843.04,Cash,Need,Paid,12000,Budget concern
FEM-0170,2025-06-06,2025-06,Personal,Rent,Dorm/Apartment Rent,Apartment Landlord,10102.59,BDO Online,Need,Pending,12000,Budget concern
FEM-0171,2024-02-21,2024-02,Personal,Education,School Supplies,Pandayan Bookshop,632.50,Credit Card,Need,Paid,5000,Recurring bill
FEM-0172,2024-03-20,2024-03,Student,Food & Dining,Groceries,Robinsons Supermarket,2372.08,Maya,Need,Paid,10000,Regular expense
FEM-0173,2024-09-15,2024-09,Personal,Food & Dining,Groceries,Dali Grocery,4068.17,Maya,Need,Paid,10000,
FEM-0174,2024-12-15,2024-12,Student, Entertainment,Streaming Subscription,Netflix,388.06,Debit Card,Want,Paid,3000,Recurring bill
FEM-0175,2025-11-07,2025-11,Personal,Utilities,Mobile Load,DITO,356.91,Debit Card,Need,Paid,7000,Promo/discount used
FEM-0176,2025-06-11,2025-06,Household,Food & Dining,Groceries,Robinsons Supermarket,3386.89,Bank Transfer,Need,Pending,10000,
FEM-0177,2025-06-03,2025-06,Household,Entertainment,Gaming,Garena,579.04,Bank Transfer,Want,Paid,3000,One-time expense
FEM-0178,2024-02-21,2024-02,Personal,Food & Dining,Groceries,SM Supermarket,2773.63,Credit Card,Need,Cancelled,10000,One-time expense
FEM-0179,2025-02-04,2025-02,Personal,Healthcare,Checkup,Clinic,714.31,GCash,Need,Paid,4000,One-time expense
FEM-0180,2025-11-06,2025-11,Household,Others,Repair/Maintenance,Hardware Store,2262.09,Cash,Mixed,Paid,,
FEM-0181,2025-04-15,2025-04,Household,Healthcare,Insurance,Insurance Provider,3359.18,GCash,Need,Paid,4000,Promo/discount used
FEM-0182,2024-11-14,2024-11,Student,Healthcare,Dental,,-2428.85,Bank Transfer,Need,Refunded,4000,Budget concern
FEM-0183,2025-01-01,2025-01,Personal,Transportation,Parking/Toll,Skyway Toll,226.00,Credit Card,Need,Paid,4500,Promo/discount used
FEM-0184,2025-12-08,2025-12,Student,Utilities,Mobile Load,DITO,510.36,Cash,Need,Paid,7000,Promo/discount used
FEM-0185,2024-05-20,2024-05,Personal,Transportation,Parking/Toll,Mall Parking,273.97,BDO Online,Need,Pending,4500,Promo/discount used
FEM-0186,2024-12-24,2024-12,Household,Transport,Jeepney/Bus Fare,UV Express,76.20,Credit Card,Need,Paid,4500,Regular expense
FEM-0187,2025-07-05,2025-07,Household,Transportation,Ride Hailing,Move It,429.84,Debit Card,Need,Paid,4500,Recurring bill
FEM-0188,2025-11-07,2025-11,Household,Education,Printing,Computer Shop,366.77,BDO Online,Need,Paid,5000,Recurring bill
FEM-0189,2024-12-23,2024-12,Freelance,Rent,Dorm/Apartment Rent,Boarding House,28055.83,GCash,Need,Paid,,Recurring bill
FEM-0190,2025-01-30,2025-01,Student,Transportation,Parking/Toll,Mall Parking,,GCash,Need,Paid,4500,Budget concern
FEM-0191,2024-06-14,2024-06,Freelance,Utilities,Internet,Globe Fiber,2043.90,Cash,Need,Pending,7000,Regular expense
FEM-0192,2025/04/09,2025-04,Household,Shopping,Personal Care,Guardian,1583.73,GCash,Want,Paid,6000,Promo/discount used
FEM-0193,2025-07-25,2025-07,Personal,Savings,Emergency Fund,Savings Account,5976.23,DEBIT CARD,Savings,Paid,8000,
FEM-0194,2024-08-30,2024-08,Personal,Shopping,Gadgets/Accessories,Digital Walker,9433.37,Maya,Want,Pending,6000,
FEM-0195,2024-02-15,2024-02,Personal,Rent,Association Dues,Condo Admin,1669.23,Credit Card,Need,Paid,12000,Budget concern
FEM-0196,2025-04-25,2025-04,Personal,Education,Printing,Print Shop,-90.28,Maya,Need,,5000,Promo/discount used
FEM-0197,2024-11-13,2024-11,Personal,Savings,Emergency Fund,Savings Account,3393.12,Credit Card,Savings,Pending,8000,
FEM-0198,2024-03-27,2024-03,Freelance,Savings,Emergency Fund,Savings Account,2699.74,Bank Transfer,Savings,Paid,8000,
FEM-0199,2024-09-13,2024-09,Personal,Utilities,Water,Manila Water,782.64,Maya,Need,Paid,7000,Regular expense
FEM-0200,2025-08-24,2025-08,Student,Utilities,Water,Manila Water,1101.89,GCash,Need,Paid,7000,Regular expense
FEM-0201,2025-04-23,2025-04,Personal,Transportation,Jeepney/Bus Fare,Public Transport,121.65,Debit Card,Need,Paid,4500,
FEM-0202,2024-01-15,2024-01,Personal,Rent,Dorm/Apartment Rent,,7956.08,Cash,Need,Paid,,Regular expense
FEM-0203,2024-05-21,2024-05,Personal,Food & Dining,Fast Food,KFC,321.32,Credit Card,Need,Pending,10000,One-time expense
FEM-0204,2024-11-30,2024-11,Student,Food & Dining,Groceries,Puregold,2706.85,Cash,Need,Paid,10000,Budget concern
FEM-0205,2024-11-27,2024-11,Household,Transportation,Ride Hailing,Move It,571.79,Debit Card,Need,Paid,4500,Recurring bill
FEM-0206,2024-07-01,2024-07,Household,Food & Dining,Restaurant,Max's Restaurant,696.03,Debit Card,Need,Paid,10000,One-time expense
FEM-0207,2025-11-27,2025-11,Household,Entertainment,Travel/Leisure,Klook,7319.24,Maya,Want,Paid,3000,Budget concern
FEM-0208,2025-04-01,2025-04,Household,education,Tuition/Fees,University Portal,14977.77,Credit Card,Need,Cancelled,5000,Recurring bill
FEM-0209,2025-11-03,2025-11,Personal,Food & Dining,Restaurant,Max's Restaurant,,debit card,Need,PAID,,Promo/discount used
