transaction_id,transaction_date,month,household_id,region,province_city,family_size,dependent_count,monthly_net_income_php,income_class_assumption,housing_status,transport_profile,schooling_profile,transaction_type,cash_flow_direction,category,subcategory,merchant_or_source,description,amount_php,payment_method,channel,necessity_level,is_recurring,budget_category,monthly_budget_php,budget_period,member_role,school_related,health_related,debt_related,savings_related,status,receipt_available,notes
FEM-PH-202405-0183,2024-05-11,2024-05,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Transportation,Bus/UV Fare,UV Express,Daily commute,132,Cash, Physical Store,Need,FALSE,Transportation,3500,Monthly,Father,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202403-0084,2024-03-29,2024-03,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Income ,Inflow,Income,Side Hustle,Occasional Side Hustle,Extra income from small work,800,GCash,Online,Need,FALSE,Income,45000,Irregular,Mother,FALSE,FALSE,FALSE,FALSE,Received,FALSE,Extra income month
FEM-PH-202503-0596,2025-03-10,2025-03,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,SCHOOL ALLOWANCE,Children Allowance,Weekly school allowance,285,Cash,School,Need,TRUE,Education,PHP 4000,Weekly,Child,N,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202408-0303,2024-08-17,2024-08,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Food,Groceries,SM Supermarket,Weekly food supply,"₱2,250",GCash,physical store,Need ,TRUE,Food,12000,Weekly,Mother,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,Weekly market/grocery run
FEM-PH-202411-0441,2024-11-22,2024-11,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Allowance,Meralco ,Weekly school allowance,396,Cash,School,Need,TRUE,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202507-0755,2025-07-10,2025-07,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Food,Public Market,Palengke Vendor,Weekly food supply,1923,Cash,Physical Store,Need,TRUE,Food,12000,Weekly,Mother,FALSE,FALSE,FALSE,FALSE,Paid,TRUE,Weekly market/grocery run
FEM-PH-202512-0954,2025-12-11,2025-12,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,expense,Outflow,Food, Groceries,Local Grocery,Weekly food supply,"₱2,039",Cash,Physical Store,Need,TRUE,Food,12000,Weekly,Mother,FALSE,FALSE,FALSE,FALSE,paid,FALSE,Weekly market/grocery run
,2025-06-23,2025-06,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly school allowance,₱346,Cash,School,Need,TRUE,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202404-0162,2024-04-05,2024-04,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Food,Fast Food,Jollibee,Fast Food,134, Debit Card,School,Need,FALSE,Food,12000,Irregular,Father,FALSE,FALSE,FALSE,FALSE,Paid,TRUE,Regular household expense
FEM-PH-202410-0411,2024-10-19,2024-10,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense ,Outflow,Lifestyle & Misc,personal care,Watsons,Personal Care,,Cash,Physical Store,Need,FALSE,Lifestyle & Misc,3500,Irregular,Child,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,Paid on time
FEM-PH-202508-0810,2025-08-25,2025-08,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly school allowance,395,Cash,School,Need,TRUE,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202401-0019,2024-01-02,2024-01,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Transportation,Bus/UV Fare,Bus Operator,Daily commute,109,Cash,Physical Store,Need,FALSE,Transportation,3500,Monthly,Mother,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202508-0801,2025-08-10,2025-08,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Transportation,Bus/UV Fare,Bus Operator,Daily commute,113,Cash,Physical Store,Need,FALSE,Transportation,3500,Monthly,Father,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202401-0031,2024-01-26,2024-01,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,education,School Allowance,Children Allowance,Weekly school allowance,352,Cash,School,Need,TRUE,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE,PAID,1,
FEM-PH-202402-0048,2024-02-25,2024-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Savings,Outflow,Savings,Savings Deposit,Bank Transfer,Savings Deposit,3000,GCash,Bank/App,Savings,TRUE,Savings,3000,Monthly,Household,FALSE,FALSE,FALSE,TRUE,Paid,TRUE,Unexpected expense
FEM-PH-202503-0611,2025-03-21,2025-03,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Project,School Supplier,School Project,1349,GCash,Online,Need,FALSE,Education,4000,Irregular,Mother,TRUE,FALSE,FALSE,FALSE,Paid,TRUE,
FEM-PH-202510-0874,2025-10-26,2025-10,HH-PH-0001,Region III - Central Luzon,Bulacan - NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Food,Groceries,SM Supermarket,Weekly food supply,"1,847",GCash,Physical Store,Need,TRUE,Food,12000,Weekly,Mother,1,FALSE,FALSE,FALSE,Paid,TRUE,Weekly market/grocery run
FEM-PH-202512-0964,2025-12-02,2025-12,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly school allowance,261,Cash,School,Need,TRUE,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE, Paid,FALSE,
FEM-PH-202402-0067,2024-02-03,2024-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,expense,Outflow,Education,School Allowance,Children Allowance,Weekly school allowance,302,Cash,School,Need,TRUE,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE,Paid ,FALSE,
FEM-PH-202410-0414,2024-10-05,2024-10,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Healthcare,Dental,Dental Clinic,Dental,606,Bank Transfer,School ,Need,FALSE,Healthcare,1500,Irregular,Child,FALSE,TRUE,FALSE,FALSE,Paid,FALSE,Price increase noticed
FEM-PH-202512-0986,2025-12-28,2025-12,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Healthcare,Emergency Treatment,Hospital,Emergency Treatment,685,GCash,Bill Payment,Emergency ,FALSE,Healthcare,1500,Irregular,Mother,FALSE,TRUE,No,FALSE,Paid ,TRUE,Budget concern
FEM-PH-202404-0122,2024-04-30,2024-04,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Income,Inflow,INCOME,Salary,Mother Salary,Mother Salary,17000,Bank Transfer,bank/app,Need,TRUE,Income,45000,Monthly,Mother,FALSE,FALSE,FALSE,FALSE,Received,TRUE,Monthly take-home income
FEM-PH-202509-0826,2025-09-03,2025-09,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Housing,Rent,Landlord,Rent,8000,Bank Transfer,Physical Store,Need,TRUE,Housing,8000,Monthly,Household,FALSE,FALSE,FALSE,FALSE,Paid,TRUE,Price increase noticed
FEM-PH-202501-0504,2025-01-10,2025-01,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense ,Outflow,Food,Groceries,SM Supermarket,Weekly food supply,2197,Cash, Physical Store,Need,TRUE,Food,12000,Weekly,Mother,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,Weekly market/grocery run
FEM-PH-202502-0559,2025-02-09,2025-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly school allowance,₱434, Cash,School,Need,TRUE,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202512-0957,2025-12-21,2025-12,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Transportation,TRICYCLE FARE,Tricycle Driver,Daily commute,67,Cash,Physical Store,Need,FALSE,Transportation,3500,Monthly,Child,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202407-0273,2024-07-16,2024-07,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly school allowance,392,Cash,School,Need,No,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202506-0719,2025-06-23,2025-06,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance, Expense,Outflow,Transportation,tricycle fare,Tricycle Driver,Daily commute,53,Cash,Physical Store,Need,FALSE,Transportation,3500,Monthly,Child,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202402-0041,2024-02-29,2024-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Income,Inflow,Income,Salary,Mother Salary,Mother Salary,17000,Bank Transfer,Bank/App,Need,TRUE,Income,45000,Monthly,Mother,FALSE,FALSE,FALSE,FALSE,Received,TRUE,Monthly take-home income
FEM-PH-202403-0093,2024-03-02,2024-03,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Food ,Groceries,SM Supermarket,Weekly food supply,2332,GCash,Physical Store,Need,TRUE,Food,12000,Weekly,Mother,FALSE,FALSE,FALSE,FALSE,Paid,TRUE,Weekly market/grocery run
FEM-PH-202511-0923,2025-11-21,2025-11,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,transportation,Tricycle Fare,Tricycle Driver,Daily commute,48,Cash,Physical Store,Need,FALSE,Transportation,3500,Monthly,Mother,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202406-0217,2024-06-23,2024-06,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Food,Public Market,Palengke Vendor,Weekly food supply,1847,gcash,Physical Store,Need,TRUE,Food,12000,Weekly,Mother,false,FALSE,FALSE,FALSE,Paid,FALSE,Weekly market/grocery run
FEM-PH-202406-0224,2024-06-02,2024-06,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly school allowance,347,Cash,School,Need,TRUE,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202512-0958,2025-12-13,2025-12,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense ,Outflow,Transportation,Bus/UV Fare,Bus Operator,Daily commute,108,Cash,Physical Store,Need,FALSE,Transportation,3500,Monthly,Mother,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202408-0302,2024-08-12,2024-08,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Food,Public Market,Palengke Vendor,Weekly food supply,"₱2,275",Debit Card,Physical Store,Need,TRUE,Food,12000,Weekly,Mother,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,Weekly market/grocery run
FEM-PH-202507-0760,2025-07-19,2025-07,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Transportation,Bus/UV Fare,UV Express,Daily commute,98,Cash,physical store,Need,FALSE,Transportation,3500,Monthly,Father,FALSE,FALSE,FALSE,FALSE,Paid,,
FEM-PH-202403-0119,03/29/2024,2024-03,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Food,Drinking Water,Water Refilling Station,Drinking Water,478,Debit Card, Bill Payment,Need,FALSE,Food,12000,Irregular,Household,FALSE,FALSE,FALSE,FALSE,paid,TRUE,School requirement
FEM-PH-202411-0441,2024-11-22,2024-11,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Allowance,Meralco  ,Weekly school allowance,396,Cash,School,Need,TRUE,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202512-0980,2025-12-21,2025-12,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Allowance,Children Allowance,School Allowance,1489,Debit Card,Bill Payment,Need,FALSE,Education,4000,Irregular,Child,TRUE,FALSE,FALSE,FALSE,Paid,TRUE,Unexpected expense
FEM-PH-202509-0831,2025-09-25,2025-09,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Savings,Outflow,Savings,Savings Deposit,Bank Transfer,Savings Deposit,3000,GCash,Bank/App,Savings,TRUE,Savings,3000,Monthly,Household,FALSE,FALSE,FALSE,TRUE,Paid,TRUE,Regular household expense
FEM-PH-202512-0965,2025-12-09,2025-12,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly school allowance,396,Cash,School,Need,TRUE,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202410-0386,2024-10-26,2024-10,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense ,Outflow,Food,Groceries,Local Grocery,Weekly food supply,2622.00,Cash,Physical Store,Need,TRUE,Food,12000,Weekly,Mother,FALSE,FALSE,FALSE,FALSE,Paid,TRUE,Weekly market/grocery run
FEM-PH-202503-0601,2025-03-15,2025-03,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly school allowance,374,Cash,School,Need,TRUE,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,false, Paid,FALSE,
FEM-PH-202502-0572,2025-02-21,2025-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Lifestyle & Misc,N/A,Mr. DIY,Household Item,1537,Maya,Bill Payment,Need,FALSE,Lifestyle & Misc,3500,Irregular,Father,N,FALSE,FALSE,FALSE, Paid,Yes,Regular household expense
FEM-PH-202401-0034,2024-01-15,2024-01,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Food,Drinking Water,Water Refilling Station,Drinking Water,-241,Maya,Online,Need,FALSE,Food,12000,Irregular,Father,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,Budget concern
FEM-PH-202406-0232,2024-06-04,2024-06,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance, Expense,Outflow,Education,School Allowance,Children Allowance,Weekly school allowance,463,Cash,School,Need ,TRUE,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE,Paid,FALSE,
FEM-PH-202409-0356,2024-09-18,2024-09,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly school allowance,345,Cash,School,Need,No,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE, Paid,FALSE,
FEM-PH-202403-0091,2024-03-25,2024-03,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Savings,Outflow,savings,Savings Deposit ,Bank Transfer,Savings Deposit,3000,Cash,Bank/App,Savings,TRUE,Savings,3000,Monthly,Household,FALSE,FALSE,,TRUE,paid,TRUE,Budget concern
