transaction_id,date,month,household_id,region,province_city,family_size,dependent_count,monthly_net_income_php,income_class_assumption,housing_status,transport_profile,schooling_profile,transaction_type,cash_flow_direction,category,subcategory,merchant,description,amount_php,payment_method,channel,necessity_type,is_recurring,budget_category,budget_limit_php,budget_period,member_role,school_related,health_related,debt_related,savings_related,status,receipt_available,notes,outlier_flag,outlier_reason,year,month_number,month_name,year_month,quarter,actual_amount,budget_amount,budget_variance,expense_group
Unknown,2025-10-12,2025-10,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,School Snacks,Sari-Sari Store,School Snacks,113.0,Cash,Online,Need,No,Food,12000.0,Irregular,Household,No,No,No,No,Paid,Yes,No notes provided,No,,2025,10,October,2025-10,Q4,113.0,12000.0,-11887.0,Needs
FEM-PH-202402-0077,2024-02-02,2024-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Supplies,Local Bookstore,School Supplies,1217.0,Debit Card,Online,Need,No,Education,4000.0,Irregular,Household,No,No,No,No,Paid,Yes,No notes provided,Yes,Above category range,2024,2,February,2024-02,Q1,1217.0,4000.0,-2783.0,Needs
FEM-PH-202405-0183,2024-05-11,2024-05,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Transportation,Bus/UV Fare,UV Express,Daily Commute,132.0,Cash,Physical Store,Need,No,Transportation,3500.0,Monthly,Father,No,No,No,No,Paid,No,No notes provided,No,,2024,5,May,2024-05,Q2,132.0,3500.0,-3368.0,Needs
FEM-PH-202403-0084,2024-03-29,2024-03,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Income,Inflow,Income,Side Hustle,Occasional Side Hustle,Extra Income From Small Work,800.0,GCash,Online,Need,No,Income,45000.0,Irregular,Mother,No,No,No,No,Received,No,Extra Income Month,No,,2024,3,March,2024-03,Q1,800.0,45000.0,-44200.0,Unknown
FEM-PH-202503-0596,2025-03-10,2025-03,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly School Allowance,285.0,Cash,School,Need,Yes,Education,4000.0,Weekly,Child,No,No,No,No,Paid,No,No notes provided,No,,2025,3,March,2025-03,Q1,285.0,4000.0,-3715.0,Needs
FEM-PH-202408-0303,2024-08-17,2024-08,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,Groceries,Sm Supermarket,Weekly Food Supply,2250.0,GCash,Physical Store,Need,Yes,Food,12000.0,Weekly,Mother,No,No,No,No,Paid,No,Weekly Market/Grocery Run,No,,2024,8,August,2024-08,Q3,2250.0,12000.0,-9750.0,Needs
FEM-PH-202411-0441,2024-11-22,2024-11,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Allowance,Meralco,Weekly School Allowance,396.0,Cash,School,Need,Yes,Education,4000.0,Weekly,Child,Yes,No,No,No,Paid,No,No notes provided,No,,2024,11,November,2024-11,Q4,396.0,4000.0,-3604.0,Needs
FEM-PH-202507-0755,2025-07-10,2025-07,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,Public Market,Palengke Vendor,Weekly Food Supply,1923.0,Cash,Physical Store,Need,Yes,Food,12000.0,Weekly,Mother,No,No,No,No,Paid,Yes,Weekly Market/Grocery Run,No,,2025,7,July,2025-07,Q3,1923.0,12000.0,-10077.0,Needs
FEM-PH-202512-0954,2025-12-11,2025-12,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,Groceries,Local Grocery,Weekly Food Supply,2039.0,Cash,Physical Store,Need,Yes,Food,12000.0,Weekly,Mother,No,No,No,No,Paid,No,Weekly Market/Grocery Run,No,,2025,12,December,2025-12,Q4,2039.0,12000.0,-9961.0,Needs
Unknown,2025-06-23,2025-06,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly School Allowance,346.0,Cash,School,Need,Yes,Education,4000.0,Weekly,Child,Yes,No,No,No,Paid,No,No notes provided,No,,2025,6,June,2025-06,Q2,346.0,4000.0,-3654.0,Needs
FEM-PH-202404-0162,2024-04-05,2024-04,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,Fast Food,Jollibee,Fast Food,134.0,Debit Card,School,Need,No,Food,12000.0,Irregular,Father,No,No,No,No,Paid,Yes,Regular Household Expense,No,,2024,4,April,2024-04,Q2,134.0,12000.0,-11866.0,Wants
FEM-PH-202508-0810,2025-08-25,2025-08,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly School Allowance,395.0,Cash,School,Need,Yes,Education,4000.0,Weekly,Child,Yes,No,No,No,Paid,No,No notes provided,No,,2025,8,August,2025-08,Q3,395.0,4000.0,-3605.0,Needs
FEM-PH-202401-0019,2024-01-02,2024-01,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Transportation,Bus/UV Fare,Bus Operator,Daily Commute,109.0,Cash,Physical Store,Need,No,Transportation,3500.0,Monthly,Mother,No,No,No,No,Paid,No,No notes provided,No,,2024,1,January,2024-01,Q1,109.0,3500.0,-3391.0,Needs
FEM-PH-202508-0801,2025-08-10,2025-08,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Transportation,Bus/UV Fare,Bus Operator,Daily Commute,113.0,Cash,Physical Store,Need,No,Transportation,3500.0,Monthly,Father,No,No,No,No,Paid,No,No notes provided,No,,2025,8,August,2025-08,Q3,113.0,3500.0,-3387.0,Needs
FEM-PH-202401-0031,2024-01-26,2024-01,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly School Allowance,352.0,Cash,School,Need,Yes,Education,4000.0,Weekly,Child,Yes,No,No,No,Paid,Yes,No notes provided,No,,2024,1,January,2024-01,Q1,352.0,4000.0,-3648.0,Needs
FEM-PH-202402-0048,2024-02-25,2024-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Savings,Outflow,Savings,Savings Deposit,Bank Transfer,Savings Deposit,3000.0,GCash,Bank/App,Savings,Yes,Savings,3000.0,Monthly,Household,No,No,No,Yes,Paid,Yes,Unexpected Expense,No,,2024,2,February,2024-02,Q1,3000.0,3000.0,0.0,Savings
FEM-PH-202503-0611,2025-03-21,2025-03,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Project,School Supplier,School Project,1349.0,GCash,Online,Need,No,Education,4000.0,Irregular,Mother,Yes,No,No,No,Paid,Yes,No notes provided,Yes,Above category range,2025,3,March,2025-03,Q1,1349.0,4000.0,-2651.0,Needs
FEM-PH-202510-0874,2025-10-26,2025-10,HH-PH-0001,Region III - Central Luzon,Bulacan - NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,Groceries,Sm Supermarket,Weekly Food Supply,1847.0,GCash,Physical Store,Need,Yes,Food,12000.0,Weekly,Mother,Yes,No,No,No,Paid,Yes,Weekly Market/Grocery Run,No,,2025,10,October,2025-10,Q4,1847.0,12000.0,-10153.0,Needs
FEM-PH-202512-0964,2025-12-02,2025-12,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly School Allowance,261.0,Cash,School,Need,Yes,Education,4000.0,Weekly,Child,Yes,No,No,No,Paid,No,No notes provided,No,,2025,12,December,2025-12,Q4,261.0,4000.0,-3739.0,Needs
FEM-PH-202402-0067,2024-02-03,2024-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly School Allowance,302.0,Cash,School,Need,Yes,Education,4000.0,Weekly,Child,Yes,No,No,No,Paid,No,No notes provided,No,,2024,2,February,2024-02,Q1,302.0,4000.0,-3698.0,Needs
FEM-PH-202410-0414,2024-10-05,2024-10,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Healthcare,Dental,Dental Clinic,Dental,606.0,Bank Transfer,School,Need,No,Healthcare,1500.0,Irregular,Child,No,Yes,No,No,Paid,No,Price Increase Noticed,No,,2024,10,October,2024-10,Q4,606.0,1500.0,-894.0,Needs
FEM-PH-202512-0986,2025-12-28,2025-12,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Healthcare,Emergency Treatment,Hospital,Emergency Treatment,685.0,GCash,Bill Payment,Emergency,No,Healthcare,1500.0,Irregular,Mother,No,Yes,No,No,Paid,Yes,Budget Concern,No,,2025,12,December,2025-12,Q4,685.0,1500.0,-815.0,Needs
FEM-PH-202404-0122,2024-04-30,2024-04,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Income,Inflow,Income,Salary,Mother Salary,Mother Salary,17000.0,Bank Transfer,Bank/App,Need,Yes,Income,45000.0,Monthly,Mother,No,No,No,No,Received,Yes,Monthly Take-Home Income,No,,2024,4,April,2024-04,Q2,17000.0,45000.0,-28000.0,Unknown
FEM-PH-202509-0826,2025-09-03,2025-09,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Housing,Rent,Landlord,Rent,8000.0,Bank Transfer,Physical Store,Need,Yes,Housing,8000.0,Monthly,Household,No,No,No,No,Paid,Yes,Price Increase Noticed,No,,2025,9,September,2025-09,Q3,8000.0,8000.0,0.0,Needs
FEM-PH-202501-0504,2025-01-10,2025-01,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,Groceries,Sm Supermarket,Weekly Food Supply,2197.0,Cash,Physical Store,Need,Yes,Food,12000.0,Weekly,Mother,No,No,No,No,Paid,No,Weekly Market/Grocery Run,No,,2025,1,January,2025-01,Q1,2197.0,12000.0,-9803.0,Needs
FEM-PH-202502-0559,2025-02-09,2025-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly School Allowance,434.0,Cash,School,Need,Yes,Education,4000.0,Weekly,Child,Yes,No,No,No,Paid,No,No notes provided,No,,2025,2,February,2025-02,Q1,434.0,4000.0,-3566.0,Needs
FEM-PH-202512-0957,2025-12-21,2025-12,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Transportation,Tricycle Fare,Tricycle Driver,Daily Commute,67.0,Cash,Physical Store,Need,No,Transportation,3500.0,Monthly,Child,No,No,No,No,Paid,No,No notes provided,No,,2025,12,December,2025-12,Q4,67.0,3500.0,-3433.0,Needs
FEM-PH-202407-0273,2024-07-16,2024-07,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly School Allowance,392.0,Cash,School,Need,No,Education,4000.0,Weekly,Child,Yes,No,No,No,Paid,No,No notes provided,No,,2024,7,July,2024-07,Q3,392.0,4000.0,-3608.0,Needs
FEM-PH-202506-0719,2025-06-23,2025-06,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Transportation,Tricycle Fare,Tricycle Driver,Daily Commute,53.0,Cash,Physical Store,Need,No,Transportation,3500.0,Monthly,Child,No,No,No,No,Paid,No,No notes provided,No,,2025,6,June,2025-06,Q2,53.0,3500.0,-3447.0,Needs
FEM-PH-202402-0041,2024-02-29,2024-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Income,Inflow,Income,Salary,Mother Salary,Mother Salary,17000.0,Bank Transfer,Bank/App,Need,Yes,Income,45000.0,Monthly,Mother,No,No,No,No,Received,Yes,Monthly Take-Home Income,No,,2024,2,February,2024-02,Q1,17000.0,45000.0,-28000.0,Unknown
FEM-PH-202403-0093,2024-03-02,2024-03,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,Groceries,Sm Supermarket,Weekly Food Supply,2332.0,GCash,Physical Store,Need,Yes,Food,12000.0,Weekly,Mother,No,No,No,No,Paid,Yes,Weekly Market/Grocery Run,No,,2024,3,March,2024-03,Q1,2332.0,12000.0,-9668.0,Needs
FEM-PH-202511-0923,2025-11-21,2025-11,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Transportation,Tricycle Fare,Tricycle Driver,Daily Commute,48.0,Cash,Physical Store,Need,No,Transportation,3500.0,Monthly,Mother,No,No,No,No,Paid,No,No notes provided,No,,2025,11,November,2025-11,Q4,48.0,3500.0,-3452.0,Needs
FEM-PH-202406-0217,2024-06-23,2024-06,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,Public Market,Palengke Vendor,Weekly Food Supply,1847.0,GCash,Physical Store,Need,Yes,Food,12000.0,Weekly,Mother,No,No,No,No,Paid,No,Weekly Market/Grocery Run,No,,2024,6,June,2024-06,Q2,1847.0,12000.0,-10153.0,Needs
FEM-PH-202406-0224,2024-06-02,2024-06,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly School Allowance,347.0,Cash,School,Need,Yes,Education,4000.0,Weekly,Child,Yes,No,No,No,Paid,No,No notes provided,No,,2024,6,June,2024-06,Q2,347.0,4000.0,-3653.0,Needs
FEM-PH-202512-0958,2025-12-13,2025-12,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Transportation,Bus/UV Fare,Bus Operator,Daily Commute,108.0,Cash,Physical Store,Need,No,Transportation,3500.0,Monthly,Mother,No,No,No,No,Paid,No,No notes provided,No,,2025,12,December,2025-12,Q4,108.0,3500.0,-3392.0,Needs
FEM-PH-202408-0302,2024-08-12,2024-08,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,Public Market,Palengke Vendor,Weekly Food Supply,2275.0,Debit Card,Physical Store,Need,Yes,Food,12000.0,Weekly,Mother,No,No,No,No,Paid,No,Weekly Market/Grocery Run,No,,2024,8,August,2024-08,Q3,2275.0,12000.0,-9725.0,Needs
FEM-PH-202507-0760,2025-07-19,2025-07,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Transportation,Bus/UV Fare,UV Express,Daily Commute,98.0,Cash,Physical Store,Need,No,Transportation,3500.0,Monthly,Father,No,No,No,No,Paid,Unknown,No notes provided,No,,2025,7,July,2025-07,Q3,98.0,3500.0,-3402.0,Needs
FEM-PH-202403-0119,2024-03-29,2024-03,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,Drinking Water,Water Refilling Station,Drinking Water,478.0,Debit Card,Bill Payment,Need,No,Food,12000.0,Irregular,Household,No,No,No,No,Paid,Yes,School Requirement,No,,2024,3,March,2024-03,Q1,478.0,12000.0,-11522.0,Needs
FEM-PH-202512-0980,2025-12-21,2025-12,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Allowance,Children Allowance,School Allowance,1489.0,Debit Card,Bill Payment,Need,No,Education,4000.0,Irregular,Child,Yes,No,No,No,Paid,Yes,Unexpected Expense,Yes,Above category range,2025,12,December,2025-12,Q4,1489.0,4000.0,-2511.0,Needs
FEM-PH-202509-0831,2025-09-25,2025-09,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Savings,Outflow,Savings,Savings Deposit,Bank Transfer,Savings Deposit,3000.0,GCash,Bank/App,Savings,Yes,Savings,3000.0,Monthly,Household,No,No,No,Yes,Paid,Yes,Regular Household Expense,No,,2025,9,September,2025-09,Q3,3000.0,3000.0,0.0,Savings
